Date1,Pickups,Time,Lattitude,Longitude
2021-01-01,48,1:47:14,12.9048605349,80.2351580007
2021-02-01,19,6:30:25,12.9268944346,80.198804456
2021-03-01,20,9:06:50,12.9412116625,80.2011145936
2021-04-01,23,7:16:07,12.9139698783,80.2328015836
2021-05-01,20,18:10:45,13.0488086028,80.2129458986
2021-06-01,11,14:35:58,12.9965874843,80.240711025
2021-07-01,27,16:10:38,13.0338920432,80.2380412582
2021-08-01,27,7:20:50,13.0720733438,80.1994052228
2021-09-01,30,21:12:38,12.9538348327,80.2146163365
2021-10-01,47,12:18:19,12.9536540276,80.2101807493
2021-11-01,49,4:19:03,13.1231545248,80.2357542297
2021-12-01,17,1:14:53,13.001164551,80.2273731272
2022-01-01,19,10:27:14,12.9908990988,80.2146177167
2022-02-01,33,7:31:09,12.9092624449,80.2255887545
2022-03-01,17,17:54:21,12.9140995518,80.2315151432
2022-04-01,49,11:38:39,13.1259244674,80.2018388229
2022-05-01,27,17:19:55,12.9518096721,80.1995183358
2022-06-01,22,14:54:29,13.0516597505,80.2137924443
2022-07-01,44,23:28:45,12.9850766504,80.208672527
2022-08-01,36,2:22:22,13.0123647976,80.2026115306
2022-09-01,40,15:06:24,13.0790265394,80.2164554187
2022-10-01,14,12:47:51,12.898258697,80.2085979825
2022-11-01,26,2:43:55,12.9913644631,80.2064595562
2022-12-01,19,16:05:34,13.0579678922,80.1972569716
2023-01-01,40,20:03:46,13.0996322253,80.2383919265
2023-02-01,47,4:19:57,12.8892555684,80.2133459392
2023-03-01,48,22:57:30,13.0465619066,80.2136731281
2023-04-01,46,13:37:45,13.0633034031,80.2033779501
2023-05-01,17,19:35:14,12.8882767164,80.192469215
2023-06-01,28,13:11:08,12.9716012579,80.2356666249
2023-07-01,10,23:18:15,13.0142587977,80.2226320923
2023-08-01,21,6:56:14,13.1323048786,80.1944418289
2023-09-01,32,9:44:14,12.9227346561,80.2075422132
2023-10-01,32,18:51:16,12.9190647547,80.2417332323
2023-11-01,19,8:28:06,13.0528927249,80.2344371775
2023-12-01,16,4:15:10,12.926721495,80.22665834723


